	25 Stroembomovih ovc
	5 Voronoi ovcarjev
57,58,59,59,59,59,59,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,62
62,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65
69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71
59,59,60,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63
61,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,81
56,56,56,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,59
60,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,63,80,81,81,81
26,58,58,58,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,61,61,61
52,53,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,56,56,82
54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,80,81,81,81,82
55,55,55,55,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,58,58
57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,60,60,60,71
56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,85
58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,86
62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64
69,69,69,69,69,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,72
82,82,82,82,82,83,83,83,83,83,83,83,83,84,84,84,93,93,93,93,94,94,94,94,94
41,52,52,52,52,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,55
57,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60
62,62,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65
